transfer_id,device_id,recorded_at,temperature_c,latitude,longitude,excursion_flag
TRF_00004,SENSOR_014,2023-10-27 09:00:00,2.41,28.72581173947386,77.35249776395177,False
TRF_00004,SENSOR_020,2023-10-27 09:00:00,2.29,28.642068909944513,77.38424204798152,False
TRF_00004,SENSOR_018,2023-10-27 09:00:00,2.1,28.650235374008314,77.10569332162669,False
TRF_00004,SENSOR_011,2023-10-27 09:00:00,1.8,28.773156121231796,77.23472519543448,False
TRF_00004,SENSOR_007,2023-10-27 09:00:00,2.09,28.613462363645688,77.14195458038513,False
TRF_00004,SENSOR_010,2023-10-27 09:00:00,2.14,28.649981920328337,77.39267420693581,False
TRF_00004,SENSOR_005,2023-10-27 09:00:00,2.04,28.573859744186567,77.14162773874618,False
TRF_00004,SENSOR_014,2023-10-27 09:00:00,2.56,28.646980083590247,77.08723898172418,False
TRF_00005,SENSOR_014,2022-04-11 13:00:00,4.6,28.57937333968769,77.02596922901152,False
TRF_00005,SENSOR_016,2022-04-11 13:00:00,3.49,28.513883260513165,77.21995260038709,False
TRF_00005,SENSOR_016,2022-04-11 13:00:00,4.4,28.416085540004346,77.12465109026392,False
TRF_00005,SENSOR_015,2022-04-11 13:00:00,5.18,28.59974773373765,77.13970185884898,False
TRF_00005,SENSOR_012,2022-04-11 13:00:00,3.44,28.630334640448275,77.23360667727945,False
TRF_00007,SENSOR_007,2023-06-12 14:00:00,3.56,28.493162578540307,77.01985777410462,False
TRF_00007,SENSOR_002,2023-06-12 14:00:00,3.01,28.41419934884854,77.27255522605174,False
TRF_00007,SENSOR_008,2023-06-12 14:00:00,2.87,28.558946517577304,77.06353772705968,False
TRF_00007,SENSOR_011,2023-06-12 14:00:00,2.48,28.546320769182337,77.01084629826254,False
TRF_00007,SENSOR_002,2023-06-12 14:00:00,3.04,28.63955421955911,77.20742536990623,False
TRF_00007,SENSOR_003,2023-06-12 14:00:00,2.88,28.689671633337085,77.111764645849,False
TRF_00007,SENSOR_010,2023-06-12 14:00:00,2.48,28.780232969419295,77.02806206012905,False
TRF_00008,SENSOR_017,2022-11-17 09:00:00,6.07,28.70232828258004,77.38674126930745,False
TRF_00008,SENSOR_018,2022-11-17 09:00:00,5.75,28.503940679739724,77.32022225283745,False
TRF_00008,SENSOR_001,2022-11-17 09:00:00,5.51,28.51123200014228,77.113587750592,False
TRF_00008,SENSOR_016,2022-11-17 09:00:00,6.39,28.750172066017168,77.09354895624861,False
TRF_00008,SENSOR_016,2022-11-17 09:00:00,5.42,28.490220069236493,77.33851590982272,False
TRF_00008,SENSOR_010,2022-11-17 09:00:00,5.48,28.556064776158607,77.26341139236611,False
TRF_00008,SENSOR_017,2022-11-17 09:00:00,5.81,28.590579264840375,77.01731354932542,False
TRF_00008,SENSOR_009,2022-11-17 09:00:00,5.92,28.461475147374966,77.21200016525455,False
TRF_00008,SENSOR_014,2022-11-17 09:00:00,6.5,28.433883917951302,77.34263152568366,False
TRF_00008,SENSOR_012,2022-11-17 09:00:00,6.89,28.536179976388727,77.00109916483984,False
TRF_00008,SENSOR_013,2022-11-17 09:00:00,5.7,28.540886275635856,77.03902925534663,False
TRF_00008,SENSOR_019,2022-11-17 09:00:00,5.77,28.60420755798343,77.04276260212697,False
TRF_00009,SENSOR_007,2024-08-14 15:00:00,4.68,28.668888680058675,77.20275994228693,False
TRF_00009,SENSOR_011,2024-08-14 15:00:00,5.81,28.799186804867038,77.22873066670597,False
TRF_00009,SENSOR_020,2024-08-14 15:00:00,5.07,28.68201844670402,77.39330022704249,False
TRF_00009,SENSOR_012,2024-08-14 15:00:00,5.26,28.440272424640483,77.24411694627939,False
TRF_00009,SENSOR_016,2024-08-14 15:00:00,5.08,28.785265956982062,77.22364633978252,False
TRF_00009,SENSOR_010,2024-08-14 15:00:00,6.05,28.71871282183276,77.07604354695599,False
TRF_00009,SENSOR_006,2024-08-14 15:00:00,4.95,28.762072976457503,77.21162047280214,False
TRF_00009,SENSOR_007,2024-08-14 15:00:00,5.49,28.56889416511132,77.26085450154488,False
TRF_00009,SENSOR_004,2024-08-14 15:00:00,5.82,28.75469931910219,77.309910608441,False
TRF_00009,SENSOR_016,2024-08-14 15:00:00,6.0,28.441532795003532,77.25245114849639,False
TRF_00010,SENSOR_003,2023-05-18 07:00:00,2.4,28.49543381440579,77.04627319550283,False
TRF_00010,SENSOR_015,2023-05-18 07:00:00,2.94,28.61124775008444,77.08476409016146,False
TRF_00010,SENSOR_020,2023-05-18 07:00:00,2.0,28.412642259076602,77.00866895354646,False
TRF_00010,SENSOR_013,2023-05-18 07:00:00,3.67,28.68218708043411,77.31784899763997,False
TRF_00010,SENSOR_019,2023-05-18 07:00:00,2.37,28.58769289920427,77.30436429475733,False
TRF_00010,SENSOR_007,2023-05-18 07:00:00,1.94,28.740670845349094,77.33227829146654,False
TRF_00010,SENSOR_019,2023-05-18 07:00:00,2.14,28.41150017601831,77.21121998852225,False
TRF_00010,SENSOR_013,2023-05-18 07:00:00,2.19,28.67136298411023,77.11705635264548,False
TRF_00010,SENSOR_013,2023-05-18 07:00:00,3.42,28.43941220758883,77.32673636555494,False
TRF_00010,SENSOR_008,2023-05-18 07:00:00,2.03,28.777666803744378,77.08608695329403,False
TRF_00010,SENSOR_007,2023-05-18 07:00:00,3.38,28.49295333468944,77.1624688112228,False
TRF_00013,SENSOR_015,2022-11-10 13:00:00,3.75,28.593570647170182,77.1537240121847,False
TRF_00013,SENSOR_011,2022-11-10 13:00:00,3.75,28.612144993113862,77.01711757593047,False
TRF_00013,SENSOR_005,2022-11-10 13:00:00,2.95,28.442042409980214,77.0511623195576,False
TRF_00013,SENSOR_016,2022-11-10 13:00:00,2.74,28.70592685137447,77.08723458225415,False
TRF_00013,SENSOR_005,2022-11-10 13:00:00,3.95,28.423399678298235,77.02531788320736,False
TRF_00013,SENSOR_002,2022-11-10 13:00:00,3.62,28.77997855367209,77.3278365064596,False
TRF_00016,SENSOR_016,2024-04-02 14:00:00,2.55,28.63073109510116,77.12016868734644,False
TRF_00016,SENSOR_016,2024-04-02 14:00:00,2.3,28.731174857915903,77.17122225366144,False
TRF_00016,SENSOR_010,2024-04-02 14:00:00,3.13,28.47496502009105,77.30862981754642,False
TRF_00016,SENSOR_004,2024-04-02 14:00:00,1.73,28.583771401915772,77.04877788339307,False
TRF_00017,SENSOR_020,2023-03-25 08:00:00,3.37,28.778450839921444,77.27042364985593,False
TRF_00017,SENSOR_014,2023-03-25 08:00:00,2.57,28.714901504747388,77.28981355733632,False
TRF_00017,SENSOR_020,2023-03-25 08:00:00,2.85,28.60272898460149,77.35964712213286,False
TRF_00017,SENSOR_002,2023-03-25 08:00:00,3.18,28.60102033766218,77.04324917331199,False
TRF_00018,SENSOR_002,2022-03-08 12:00:00,1.55,28.685190719848876,77.32800604877869,False
TRF_00018,SENSOR_001,2022-03-08 12:00:00,2.15,28.549370755421908,77.0058694261453,False
TRF_00018,SENSOR_003,2022-03-08 12:00:00,1.62,28.548559508499913,77.39031696492897,False
TRF_00018,SENSOR_006,2022-03-08 12:00:00,2.26,28.741039037570534,77.20866554702766,False
TRF_00018,SENSOR_011,2022-03-08 12:00:00,1.13,28.74482133329893,77.12553848569733,False
TRF_00018,SENSOR_012,2022-03-08 12:00:00,2.51,28.753664197784094,77.17668520522025,False
TRF_00018,SENSOR_020,2022-03-08 12:00:00,2.1,28.446901863384355,77.03607548642862,False
TRF_00018,SENSOR_007,2022-03-08 12:00:00,0.99,28.515786822006497,77.15782939406321,True
TRF_00019,SENSOR_010,2023-09-25 07:00:00,2.26,28.436928998681893,77.18097640732292,False
TRF_00019,SENSOR_007,2023-09-25 07:00:00,2.56,28.523985394913876,77.31556005433717,False
TRF_00019,SENSOR_017,2023-09-25 07:00:00,2.36,28.739214329978726,77.2536353167144,False
TRF_00019,SENSOR_001,2023-09-25 07:00:00,1.87,28.717094627703663,77.17221340897231,False
TRF_00019,SENSOR_017,2023-09-25 07:00:00,3.04,28.68508860720533,77.27248142303675,False
TRF_00020,SENSOR_017,2022-10-20 13:00:00,3.51,28.467257578882172,77.01105859725654,False
TRF_00020,SENSOR_004,2022-10-20 13:00:00,3.53,28.719371898511874,77.00684639557075,False
TRF_00020,SENSOR_005,2022-10-20 13:00:00,3.05,28.534928902944642,77.26366897138418,False
TRF_00020,SENSOR_008,2022-10-20 13:00:00,4.14,28.739228733424255,77.02636540292835,False
TRF_00020,SENSOR_010,2022-10-20 13:00:00,4.02,28.47283906612586,77.31056694243044,False
TRF_00020,SENSOR_003,2022-10-20 13:00:00,4.36,28.440725822771316,77.33216204546132,False
TRF_00020,SENSOR_008,2022-10-20 13:00:00,2.76,28.760440894551923,77.24086362626906,False
TRF_00020,SENSOR_015,2022-10-20 13:00:00,4.15,28.593326114344364,77.29189859605458,False
TRF_00020,SENSOR_008,2022-10-20 13:00:00,4.04,28.426806625558378,77.24657377505393,False
TRF_00020,SENSOR_009,2022-10-20 13:00:00,4.11,28.709283856025568,77.13811989389062,False
TRF_00022,SENSOR_003,2024-09-14 07:00:00,2.66,28.7583420445672,77.02160115378302,False
TRF_00022,SENSOR_017,2024-09-14 07:00:00,2.35,28.457957398874218,77.06898229060234,False
